accX,accY,accZ,rotX,rotY,rotZ,graX,graY,graZ,activity
-0.038307227,0.2681506,10.01734,0.0011519173,0.001256637,0.00026179937,-0.035499997,0.2592,9.8031,Walking_Idle
-0.038307227,0.2681506,10.01734,0.0011519173,0.001256637,0.00026179937,-0.034399997,0.2589,9.8031,Walking_Idle
-0.047884032,0.25857377,9.998186,0.0011519173,0.001256637,0.00026179937,-0.034399997,0.2589,9.8031,Walking_Idle
-0.047884032,0.25857377,9.998186,0.0011519173,0.001256637,0.00026179937,-0.0348,0.2581,9.8031,Walking_Idle
-0.047884032,0.25857377,9.998186,0.0011519173,0.001256637,0.00026179937,-0.035099998,0.2591,9.8031,Walking_Idle
-0.047884032,0.25857377,9.998186,0.0011519173,0.001256637,0.00026179937,-0.035099998,0.2591,9.8031,Walking_Idle
-0.047884032,0.25857377,9.998186,0.0011519173,0.001256637,0.00026179937,-0.035099998,0.2591,9.8031,Walking_Idle
-0.047884032,0.25857377,9.998186,0.0011519173,0.001256637,0.00026179937,-0.0345,0.2583,9.8031,Walking_Idle
-0.047884032,0.25857377,9.998186,0.0011519173,0.001256637,0.00026179937,-0.0345,0.2583,9.8031,Walking_Idle
-0.047884032,0.25857377,9.998186,-0.0012740904,3.4906585e-05,0.00026179937,-0.0349,0.2592,9.8031,Walking_Idle
-0.047884032,0.25857377,9.998186,-0.0012740904,3.4906585e-05,0.00026179937,-0.0349,0.2592,9.8031,Walking_Idle
-0.038307227,0.2681506,9.998186,-0.0012740904,3.4906585e-05,0.00026179937,-0.0352,0.2592,9.8031,Walking_Idle
-0.038307227,0.2681506,9.998186,-0.0012740904,3.4906585e-05,0.00026179937,-0.0352,0.2592,9.8031,Walking_Idle
-0.038307227,0.2681506,9.998186,-0.0012740904,3.4906585e-05,0.00026179937,-0.033,0.2592,9.8031,Walking_Idle
-0.038307227,0.2681506,9.998186,-0.0012740904,3.4906585e-05,0.00026179937,-0.033,0.2592,9.8031,Walking_Idle
-0.038307227,0.2681506,9.998186,-0.0012740904,3.4906585e-05,0.00026179937,-0.0343,0.2592,9.8031,Walking_Idle
-0.038307227,0.2681506,9.998186,-0.0012740904,3.4906585e-05,0.00026179937,-0.0343,0.2592,9.8031,Walking_Idle
-0.038307227,0.2681506,9.998186,-0.0012740904,3.4906585e-05,0.00026179937,-0.0354,0.2592,9.8031,Walking_Idle
-0.038307227,0.2681506,9.998186,-5.235988e-05,3.4906585e-05,0.00026179937,-0.0354,0.2592,9.8031,Walking_Idle
-0.038307227,0.2681506,9.998186,-5.235988e-05,3.4906585e-05,0.00026179937,-0.0349,0.2584,9.8031,Walking_Idle
-0.038307227,0.2681506,9.998186,-5.235988e-05,3.4906585e-05,0.00026179937,-0.0349,0.2584,9.8031,Walking_Idle
-0.047884032,0.2681506,9.998186,-5.235988e-05,3.4906585e-05,0.00026179937,-0.036,0.2577,9.8031,Walking_Idle
-0.047884032,0.2681506,9.998186,-5.235988e-05,3.4906585e-05,0.00026179937,-0.036,0.2577,9.8031,Walking_Idle
-0.047884032,0.2681506,9.998186,-5.235988e-05,3.4906585e-05,0.00026179937,-0.036199998,0.257,9.8032,Walking_Idle
-0.047884032,0.2681506,9.998186,-5.235988e-05,3.4906585e-05,0.00026179937,-0.036199998,0.257,9.8032,Walking_Idle
-0.047884032,0.2681506,9.998186,-5.235988e-05,3.4906585e-05,0.00026179937,-0.0356,0.2556,9.8032,Walking_Idle
-0.047884032,0.2681506,9.998186,-5.235988e-05,3.4906585e-05,0.00026179937,-0.0356,0.2556,9.8032,Walking_Idle
-0.047884032,0.2681506,9.998186,-5.235988e-05,3.4906585e-05,0.00026179937,-0.0358,0.2559,9.8032,Walking_Idle
-0.047884032,0.2681506,9.998186,-0.0024958209,3.4906585e-05,-0.0009424778,-0.0358,0.2559,9.8032,Walking_Idle
-0.047884032,0.2681506,9.998186,-0.0024958209,3.4906585e-05,-0.0009424778,-0.036,0.2546,9.8032,Walking_Idle
